accountsservice 22.08.8-2
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alacritty 0.10.1-2
alacritty-themes 4.4.1-1
alsa-lib 1.2.7.2-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.2-1
aom 3.4.0-1
archlinux-keyring 20220713-1
argon2 20190702-4
asciidoc 10.2.0-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.2-2
attr 2.5.1-2
audit 3.0.8-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
baobab 42.0-1
base 2-2
bash 5.1.016-1
bc 1.07.1-4
bcg729 1.1.1-1
betterlockscreen 4.0.4-1
binutils 2.38-6
bison 3.8.2-4
bluez 5.64-2
bluez-libs 5.64-2
bluez-utils 5.64-2
bridge-utils 1.7.1-1
brotli 1.0.9-8
btrfs-progs 5.18.1-1
bubblewrap 0.6.2-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.80-1
ca-certificates-utils 20210603-1
cairo 1.17.6-2
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
cdparanoia 10.2-8
checkupdates+aur 1-3
checkupdates-aur 0.04-1
cinnamon-desktop 5.4.0-1
cmake 3.23.2-2
containerd 1.6.6-1
coreutils 9.1-1
cryptsetup 2.4.3-2
curl 7.84.0-2
cython 0.29.30-1
dav1d 1.0.0-1
db 5.3.28-5
dbus 1.14.0-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
desktop-file-utils 0.26-2
device-mapper 2.03.16-1
dialog 1:1.3_20220526-1
diffutils 3.8-1
djvulibre 3.5.28-3
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docker 1:20.10.17-1
dosfstools 4.2-2
dotnet-host 6.0.6.sdk106-1
dotnet-runtime 6.0.6.sdk106-1
double-conversion 3.2.0-1
duktape 2.7.0-4
dunst 1.9.0-1
e2fsprogs 1.46.5-4
efibootmgr 18-1
efivar 38-2
emacs 28.1-7
enchant 2.3.3-1
evince 42.3-1
exempi 2.6.2-1
expat 2.4.8-1
fakeroot 1.29-1
fd 8.4.0-1
feh 3.9-1
ffmpeg 2:5.0.1-3
ffmpeg4.4 4.4.2-3
fftw 3.3.10-3
file 5.42-1
filesystem 2021.12.07-1
findutils 4.9.0-1
firefox 102.0.1-1
flac 1.3.4-3
flameshot 12.1.0-1
flex 2.6.4-3
fontconfig 2:2.14.0-1
fontforge 20220308-1
freetype2 2.12.1-1
fribidi 1.0.12-1
fuse-common 3.11.0-1
fuse3 3.11.0-1
fzf 0.30.0-3
gawk 5.1.1-1
gc 8.2.0-3
gcc 12.1.0-2
gcc-libs 12.1.0-2
gcr 3.41.0-2
gd 2.3.3-4
gdbm 1.23-1
gdk-pixbuf2 2.42.8-1
gettext 0.21-2
ghc 9.0.2-1
ghc-libs 9.0.2-1
ghostscript 9.56.1-1
giflib 5.2.1-2
git 2.37.1-1
github-cli 2.13.0-1
gitui 0.20.1-2
gjs 2:1.72.1-1
glib-networking 1:2.72.1-1
glib2 2.72.3-1
glibc 2.35-6
glibmm 2.66.4-1
gmp 6.2.1-2
gnome-backgrounds 42.0-1
gnome-desktop 1:42.3-1
gnome-desktop-common 1:42.3-1
gnome-icon-theme 3.12.0-7
gnome-icon-theme-symbolic 3.12.0-6
gnu-free-fonts 20120503-8
gnupg 2.2.36-1
gnutls 3.7.6-1
gobject-introspection-runtime 1.72.0-1
google-chrome 103.0.5060.114-1
gparted 1.4.0-1
gpgme 1.17.1-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-1
graphene 1.10.8-1
graphite 1:1.3.14-2
grep 3.7-1
groff 1.22.4-7
grub 2:2.06.r261.g2f4430cc0-1
gsettings-desktop-schemas 42.0-1
gsfonts 20200910-2
gsm 1.0.19-1
gspell 1.10.0-2
gst-plugin-gtk 1.20.3-1
gst-plugins-bad-libs 1.20.3-1
gst-plugins-base 1.20.3-1
gst-plugins-base-libs 1.20.3-1
gstreamer 1.20.3-1
gtk-update-icon-cache 1:4.6.6-1
gtk2 2.24.33-2
gtk3 1:3.24.34-1
gtk4 1:4.6.6-1
gtkmm 1:2.24.5-4
gtkmm3 3.24.6-1
gtksourceview3 3.24.11+28+g73e57b57-1
gtksourceview4 4.8.3-1
guile 2.2.7-2
gvfs 1.50.2-1
gzip 1.12-1
harfbuzz 4.4.1-1
harfbuzz-icu 4.4.1-1
haskell-adjunctions 4.4.1-17
haskell-aeson 1.5.6.0-120
haskell-alsa-core 0.5.0.1-17
haskell-alsa-mixer 0.3.0-73
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-179
haskell-asn1-parse 0.9.5-179
haskell-asn1-types 0.3.4-158
haskell-assoc 1.0.2-148
haskell-async 2.2.4-83
haskell-attoparsec 0.14.4-26
haskell-base-compat 0.12.1-1
haskell-base-compat-batteries 0.12.1-37
haskell-base-orphans 0.8.6-55
haskell-base64-bytestring 1.2.1.0-53
haskell-basement 0.0.14-1
haskell-bifunctors 5.5.12-12
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-176
haskell-blaze-markup 0.8.2.8-82
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
haskell-call-stack 0.4.0-89
haskell-case-insensitive 1.2.1.0-155
haskell-cereal 0.5.8.2-2
haskell-comonad 5.0.8-151
haskell-conduit 1.3.4.2-68
haskell-conduit-extra 1.3.6-9
haskell-connection 0.3.1-206
haskell-contravariant 1.5.5-3
haskell-cookie 0.4.5-12
haskell-cryptonite 0.30-22
haskell-data-default 0.7.1.1-236
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-249
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-54
haskell-dbus 1.2.22-75
haskell-diff 0.4.1-27
haskell-distributive 0.6.2.1-154
haskell-dlist 1.0-171
haskell-erf 2.0.0.0-24
haskell-extensible-exceptions 0.1.1.4-36
haskell-free 5.1.9-6
haskell-ghc-bignum-orphans 0.1.1-1
haskell-hashable 1.4.0.2-26
haskell-hinotify 0.4.1-123
haskell-hourglass 0.2.12-198
haskell-http 4000.4.1-13
haskell-http-client 0.7.11-36
haskell-http-client-tls 0.3.6.1-31
haskell-http-conduit 2.3.8-211
haskell-http-types 0.12.3-248
haskell-indexed-traversable 0.1.2-2
haskell-indexed-traversable-instances 0.1.1-38
haskell-integer-logarithms 1.0.3.1-6
haskell-invariant 0.6-3
haskell-iproute 1.7.12-30
haskell-kan-extensions 5.2.5-6
haskell-lens 5.1.1-19
haskell-libmpd 0.10.0.0-100
haskell-memory 0.17.0-18
haskell-mime-types 0.1.0.9-14
haskell-monad-loops 0.4.3-25
haskell-mono-traversable 1.0.15.3-65
haskell-netlink 1.1.1.0-13
haskell-network 3.1.2.7-30
haskell-network-uri 2.6.4.1-87
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-onetuple 0.3.1-27
haskell-parallel 3.2.2.0-17
haskell-parsec-numbers 0.1.0-18
haskell-pem 0.2.4-235
haskell-pretty-hex 1.1-9
haskell-primitive 0.7.4.0-15
haskell-profunctors 5.6.2-93
haskell-quickcheck 2.14.2-333
haskell-random 1.2.1.1-31
haskell-reflection 2.1.6-148
haskell-regex-base 0.94.0.2-2
haskell-regex-compat 0.95.2.1-6
